tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
67.551,wellness,Aaera Mio,0F6iu3jm5bJpTsyDKSaE4a,We Belong Here,47
67.559,world,Clifton Chenier,75E2RVwx6dncaH51QTFAeU,I'm Coming Home (To See My Mother),26
67.628,ambient,Latehours,48E9vNhkFZTSiTpbeEcq8T,Connection,49
67.813,afrobeats,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.813,ambient,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.813,arabic,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.817,electronic,Beneath The Mountain,6slYs8gw2Mym5287UdFaW6,Then There Was You,19
67.818,ambient,"Larry Gaaga, Patoranking, ODUMODUBLVCK",2gcOLxQioot3aJEzyVQZUr,Devil Wears White,54
67.955,wellness,Wicker Whales,1d0sc4npZeCAxX4YRuaCNG,Come Wander,66
67.999,wellness,Drishti,6hdHn3UvY4TKIXjarrXOOH,Abloom,46
68.003,lofi,Fya Playce,6lDAtiAKi02GGDLGxZb1OO,park stroll,50
68.056,latin,Miren,5Mi624HZtHnUUsz3JbM4FO,Oh Keira,16
68.196,ambient,Burna Boy,2KiqSjEDFFOyf4yCQwSOud,Normal,46
68.298,ambient,Huma,3uZ4KyVZwwnfAt3IGhS3c0,Animálico,66
68.359,wellness,Eleonora Feldt,5Vab4sH6FYCTPHEZHFlIhQ,Nattord,45
68.367,wellness,Månvarv,7KuG4E1I7cNDaHo31R8Lzm,Tidal Energy,45
68.426,wellness,Luna Novina,4WU2fTBAX3JkayltzAC55D,Luminescent,50
68.518,wellness,Universo,0Ofa1VBQNy5iV9LyyX0iw1,Intergalactico,43
68.529,world,浩宇,7bbJDj4Q9Q28xPOcVoVHXc,风和树叶,32
68.534,pop,Taylor Swift,1dGr1c8CrMLDpV6mPbImSI,Lover,84
68.537,classical,James Heather,26g48sI8nJSWGtLecKZrej,Ultraviolet,62
68.571,wellness,Stepan Korolev,4FPF6KASKzwYP3XRjXm0jF,Cosmic Enlightenment,50
68.643,ambient,Reso Nata,5sOzPDUiz5ZTDoXUGCtNGu,Somnova,45
68.649,classical,"Veljo Tormis, Mikrokosmos, Loïc Pierre",0QXrJH7Whrm5xFioJtT1BV,La Kanteletar: I. Herkä neito,32
68.712,wellness,Celestial Echoes,6S5TAvYjNKzaVI5KR6DomW,Metamorphic,44
68.922,ambient,Mareina,2dslILOVDhmXVEds5LUuDj,Cove,48
68.947,classical,"Claude Debussy, Alice Sara Ott",1cmigB9I6IRpFqjIbzvSQB,"Suite bergamasque, L. 75: III. Clair de lune",65
68.999,world,Yume.Play,7JsubGmueKhqNhfdAcKXNS,Serenity,36
69.004,lofi,Bus Topp,5aeQDI9LxC5Aiuc5Vqo65K,SoulShower,52
69.044,wellness,Aurora Dreamer,4FWPL5W5UKBuYMMRPVNWC1,Nom Mind,51
69.11,electronic,"Stilhed, Jacob David",62Is90S3pFnUxtnhztyuZX,Trampoline,31
69.119,wellness,Michel LeBond,30UGQxzuYRKOziYOLFbYUY,"Floating, Flying",44
69.172,wellness,Astred,1hLocT1ZOLgTPDVtsfLLwU,Quiet Dreams,49
69.306,jazz,Butterscotch,02MFno0s2lpD3rycI7cllL,P_Optimist,47
69.321,ambient,Anders Schill Paulsen,0llXuMzfxERO9rNFZ4pCUh,Meander,45
69.321,ambient,Nova Ambia,0ZUnUqTwUa985VvMYVAU0P,Moments,45
69.386,gaming,"Brendan Angelides, Assassin's Creed, Layth Sidiq",17D3bYY9JJJjH1TUAruBJr,Mirage Theme - From Assassin's Creed Mirage,34
69.504,wellness,Joseff Shields,77X5JEYLRwx9G3DCJ3PVsn,Undulating,45
69.569,electronic,Luke Howard,6k7kaov8nnc7SQkX2DWCCq,The Ends,24
69.677,classical,Yehezkel Raz,2kbruQXVXFmxxm4l75zuwy,Behind Every Decision,70
69.827,soul,Snoh Aalegra,3FImu2LpSuH6gDHBuFgIbS,DO 4 LOVE,66
69.847,ambient,n.i.g.h.t,7geKBGxxwkJI9AKgEFXvXJ,A Place For The Mind,53
69.856,wellness,Benjin Blund,7L1ExUYs6SqaCu5o4G8umc,Cycle of Emotions,47
69.919,ambient,different spaces,5jiRq2Z5eEZUvCn32XDExZ,Expectations,48
69.935,electronic,Alfonso Peduto,0sCt59oICqnXl3S2a6THtR,The Distance Between Us III,14
69.94,lofi,Juliette,0LJeA9BFfwRfsOTxzhWzCF,Memories & Notes,48
69.959,lofi,Lime Nyorobon,6yMtuNltStGSJyv6LLytcE,Let's Puddle,49
69.982,gospel,Ibquake,5NOMpIrAo3xQuNbSbebSV0,Today,33
69.99,lofi,Sihu,40frhLpVMThTogyowcdNtb,Hazy,61
69.995,lofi,Dino P,0Yr84Z0J8XdIFgef0Gm4wC,Days before,52
70.01,latin,FLORIAN,5cQYgeDRWXclW31bJ3yRTp,Lejos de Mi,12
70.013,lofi,Otaku,2HYPqSwitksTpCFzYmP7Po,Blue Bird (Naruto),48
70.022,lofi,Alek Faith,3XxZiDTQflprBVjBFxM8P9,Friday Dazed,52
70.024,lofi,Shierro,7saan3wT8athjtK1LxUfth,Flames to Dust,44
70.038,latin,Ana Tijoux,322LgcUL3uhHbpUQP57WUF,Shock,41
70.043,lofi,Worn Tape,1YHe10629RcHU4qusWR9b1,Ham On Rye,48
