tempo,playlist_genre,track_artist,track_id,track_name,track_popularity
84.581,rock,Red Hot Chili Peppers,3d9DChrdc6BOeFsbrZ3Is0,Under the Bridge,82
147.193,rock,Billy Idol,1gzIbdFnGJ226LTl0Cn2SX,White Wedding - Pt. 1,70
127.361,rock,AC/DC,2SiXAy7TuUkycRVbbWDEpo,You Shook Me All Night Long,81
136.302,rock,The Rolling Stones,2PzU4IB8Dr6mxV3lHuaG34,(I Can't Get No) Satisfaction - Mono Version,76
100.456,rock,David Bowie,0pQskrTITgmCMyr85tb9qq,Starman - 2012 Remaster,76
89.74,rock,Led Zeppelin,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,72
103.886,rock,The Doors,14XWXWv5FoCbFzLksawpEe,Riders on the Storm,70
105.338,rock,Pearl Jam,6QewNVIDKdSl8Y3ycuHIei,Even Flow,77
122.093,rock,Bruce Springsteen,0dOg1ySSI7NkpAe89Zo0b9,Born in the U.S.A.,72
171.176,rock,The Verve,57iDDD9N9tTWe75x6qhStw,Bitter Sweet Symphony - Remastered 2016,79
124.634,rock,Guns N' Roses,2N2yrmodOnVF10mKvItC9P,Don't Cry (Original),75
113.253,rock,Jimi Hendrix,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,72
189.507,rock,Phil Collins,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,76
123.118,rock,Talking Heads,1i6N76fftMZhijOzFQ5ZtL,Psycho Killer - 2005 Remaster,76
129.269,rock,Lenny Kravitz,45Ia1U4KtIjAPPU7Wv1Sea,Are You Gonna Go My Way,71
105.25,rock,Metallica,54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),70
114.965,rock,Fleetwood Mac,254bXAqt3zP6P50BdQvEsq,Everywhere - 2017 Remaster,79
116.109,rock,Creedence Clearwater Revival,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,84
127.215,rock,The Cars,4alHo6RGd0D3OUbTPExTHN,Just What I Needed,69
