tempo,genre,track_artist,track_id,track_name,track_popularity
67.1,electronic,"Raphah, We Dream of Eden",2GM5AVjb5D0cWdarRsmj0Z,Through the Trees,30
67.2,wellness,Burgundy Skies,3VvomBh2ZKssj7gDFZF8gI,Equilibrium,46
67.2,electronic,leadwave,4VkRQSpG16JxrXaVlNyWdX,memories,70
67.4,wellness,Maximilian Sievert,2SOtrZCAuoNn2FvF6Skq6a,Listen,44
67.4,classical,"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",1upQiytDIEZfl9ItruoXuC,"Handel / Orch. Hale: Keyboard Suite No. 4 in D Minor, HWV 437: III. Sarabande",63
67.4,ambient,"Frans Bak, Mari Samuelsen, Hakon Samuelsen, Keld Haaning Ibsen, TrondheimSolistene",1wCajGSdprYHaLqsPsaY0n,The Mist: Pt. 3,17
67.4,ambient,Bright Lens,14k8ejDpD3MNTzpYhUjKTN,Echoes Divided,63
67.5,pop,Arctic Monkeys,5XeFesFbtLpXzIVDNQP22n,I Wanna Be Yours,90
67.5,blues,Whitney Houston,4eHbdreAnSOrDDsFfc4Fpm,I Will Always Love You,75
67.5,hip-hop,"A$AP Rocky, Joe Fox, Kanye West",2gAGWaK4wvt2xrFUlR4mK8,Jukebox Joints (feat. Joe Fox & Kanye West),72
67.5,world,浩宇,4GqFlXc78N9wqwIl2SU46Y,跳舞的叶子,33
67.6,wellness,Aaera Mio,0F6iu3jm5bJpTsyDKSaE4a,We Belong Here,47
67.6,world,Clifton Chenier,75E2RVwx6dncaH51QTFAeU,I'm Coming Home (To See My Mother),26
67.6,ambient,Latehours,48E9vNhkFZTSiTpbeEcq8T,Connection,49
67.8,afrobeats,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.8,ambient,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.8,arabic,"Ayo Maff, Fireboy DML",5Wxkvvb6pLky16pwq4gBI3,Dealer,68
67.8,electronic,Beneath The Mountain,6slYs8gw2Mym5287UdFaW6,Then There Was You,19
67.8,ambient,"Larry Gaaga, Patoranking, ODUMODUBLVCK",2gcOLxQioot3aJEzyVQZUr,Devil Wears White,54
68.0,wellness,Wicker Whales,1d0sc4npZeCAxX4YRuaCNG,Come Wander,66
68.0,wellness,Drishti,6hdHn3UvY4TKIXjarrXOOH,Abloom,46
68.0,lofi,Fya Playce,6lDAtiAKi02GGDLGxZb1OO,park stroll,50
68.1,latin,Miren,5Mi624HZtHnUUsz3JbM4FO,Oh Keira,16
68.2,ambient,Burna Boy,2KiqSjEDFFOyf4yCQwSOud,Normal,46
68.3,ambient,Huma,3uZ4KyVZwwnfAt3IGhS3c0,Animálico,66
68.4,wellness,Eleonora Feldt,5Vab4sH6FYCTPHEZHFlIhQ,Nattord,45
68.4,wellness,Månvarv,7KuG4E1I7cNDaHo31R8Lzm,Tidal Energy,45
