playlist_genre,track_name,track_artist,track_popularity,analysis_url
pop,Who,Jimin,92,https://api.spotify.com/v1/audio-analysis/7tI8dRuH2Yc6RuoTjxo4dU
rock,Hotel California - 2013 Remaster,Eagles,81,https://api.spotify.com/v1/audio-analysis/40riOy7x9W7GXjyGp4pjAv
rock,Thunderstruck,AC/DC,83,https://api.spotify.com/v1/audio-analysis/57bgtoPSgt236HzfBOd8kj
rock,Seven Nation Army,The White Stripes,82,https://api.spotify.com/v1/audio-analysis/3dPQuX8Gs42Y7b454ybpMR
rock,Creep,Radiohead,86,https://api.spotify.com/v1/audio-analysis/70LcF31zb1H0PyJoS1Sx1r
rock,Come As You Are,Nirvana,76,https://api.spotify.com/v1/audio-analysis/4P5KoWXOxwuobLmHXLMobV
rock,Californication,Red Hot Chili Peppers,81,https://api.spotify.com/v1/audio-analysis/48UPSzbZjgc449aqz8bxox
rock,Sweet Child O' Mine,Guns N' Roses,84,https://api.spotify.com/v1/audio-analysis/7snQQk1zcKl8gZ92AnueZW
rock,"Paint It, Black",The Rolling Stones,81,https://api.spotify.com/v1/audio-analysis/63T7DJ1AFDD6Bn8VzG6JE8
rock,Dreams - 2004 Remaster,Fleetwood Mac,84,https://api.spotify.com/v1/audio-analysis/0ofHAoxe9vBkTCp2UQIavz
rock,Everlong,Foo Fighters,81,https://api.spotify.com/v1/audio-analysis/5UWwZ5lm5PKu6eKsHAGxOk
rock,I Love Rock 'N Roll,Joan Jett & the Blackhearts,77,https://api.spotify.com/v1/audio-analysis/2Cdvbe2G4hZsnhNMKyGrie
rock,Dust in the Wind,Kansas,79,https://api.spotify.com/v1/audio-analysis/6zeE5tKyr8Nu882DQhhSQI
rock,"Another Brick in the Wall, Pt. 2",Pink Floyd,74,https://api.spotify.com/v1/audio-analysis/4gMgiXfqyzZLMhsksGmbQV
rock,Runaway,Bon Jovi,72,https://api.spotify.com/v1/audio-analysis/0X1sqQ652p1sceKM2nJlIJ
rock,Basket Case,Green Day,80,https://api.spotify.com/v1/audio-analysis/6L89mwZXSOwYl76YXfX13s
rock,Under the Bridge,Red Hot Chili Peppers,82,https://api.spotify.com/v1/audio-analysis/3d9DChrdc6BOeFsbrZ3Is0
rock,White Wedding - Pt. 1,Billy Idol,70,https://api.spotify.com/v1/audio-analysis/1gzIbdFnGJ226LTl0Cn2SX
rock,You Shook Me All Night Long,AC/DC,81,https://api.spotify.com/v1/audio-analysis/2SiXAy7TuUkycRVbbWDEpo
